CountryCode,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
ATG,Antigua and Barbuda,High income: nonOECD,Latin America & Caribbean,IBRD,,East Caribbean dollar,2011,,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,General Data Dissemination System (GDDS),,Yes,2007,,2011,2005,AG,AG,Antigua and Barbuda,Antigua and Barbuda
AUS,Commonwealth of Australia,High income: OECD,East Asia & Pacific,,,Australian dollar,2011,,"Fiscal year end: June 30; reporting period for national accounts data: FY. Value added series data are taken from the United Nations National Accounts Main Aggregates, and gross national income is computed using Australian Bureau of Statistics data.",Original chained constant price data are rescaled.,2011,Country uses the 2008 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 1994",Yes,2011,2006,2011,2000,AU,AU,Australia,Australia
AUT,Republic of Austria,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011. Population figures compiled from administrative registers.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2000",Yes,2010,2009,2011,2002,AT,AT,Austria,Austria
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,,New Azeri manat,2009,"Demographic and Health Survey (DHS), 2006",April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.,Original chained constant price data are rescaled.,2003,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2008",Yes,,2009,2011,2005,AZ,AZ,Azerbaijan,Azerbaijan
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,IDA,HIPC,Burundi franc,2008,"Demographic and Health Survey (DHS), 2010",,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",,,,2010,2000,BI,BI,Burundi,Burundi
BEL,Kingdom of Belgium,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2000",Yes,2010,2009,2011,2007,BE,BE,Belgium,Belgium
BEN,Republic of Benin,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2002,"Demographic and Health Survey (DHS), 2011/12",,1985,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),1992,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,2011/12,,2010,2001,BJ,BJ,Benin,Benin
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2006,"Demographic and Health Survey (DHS), 2011",,1999,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1992–93,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2009",,2010,,2011,2001,BF,BF,Burkina Faso,Burkina Faso
BGD,People's Republic of Bangladesh,Low income,South Asia,IDA,,Bangladeshi taka,2011,"Demographic and Health Survey (DHS), 2011",Fiscal year end: June 30; reporting period for national accounts data: FY.,1995/96,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,2008,,2007,2008,BD,BD,Bangladesh,Bangladesh
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,IBRD,,Bulgarian lev,2011,"Living Standards Measurement Study Survey (LSMS), 2007",April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.,Original chained constant price data are rescaled.,2002,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),"1978–89, 1991–92",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2007",Yes,2010,2009,2011,2009,BG,BG,Bulgaria,Bulgaria
BHR,Kingdom of Bahrain,High income: nonOECD,Middle East & North Africa,,,Bahraini dinar,2010,,,1985,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,,,2011,2003,BH,BH,Bahrain,Bahrain
BHS,Commonwealth of The Bahamas,High income: nonOECD,Latin America & Caribbean,,,Bahamian dollar,2010,,,2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,,,,2011,,BS,BS,"Bahamas, The",The Bahamas
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,Blend,,Bosnia and Herzegovina convertible mark,1991,"Multiple Indicator Cluster Survey (MICS), 2011/12",,Original chained constant price data are rescaled.,1996,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,,"Living Standards Measurement Study Survey (LSMS), 2007",Yes,,,2011,2009,BA,BA,Bosnia and Herzegovina,Bosnia and Herzegovina
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,,Belarusian rubel,2009,"Multiple Indicator Cluster Survey (MICS), 2012",,Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,,2009,2011,2000,BY,BY,Belarus,Belarus
BLZ,Belize,Upper middle income,Latin America & Caribbean,IBRD,,Belize dollar,2010,"Multiple Indicator Cluster Survey (MICS), 2011",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2011",,,,2011,2000,BZ,BZ,Belize,Belize
BMU,The Bermudas,High income: nonOECD,North America,,,Bermuda dollar,2010,,,2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,,,Yes,,,2011,,BM,BM,Bermuda,Bermuda
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,Blend,HIPC,Bolivian Boliviano,2012,"Demographic and Health Survey (DHS), 2008",,1990,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1960–85,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2009",,2013,2001,2011,2000,BO,BO,Bolivia,Bolivia
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,IBRD,,Brazilian real,2010,"Living Standards Measurement Study Survey (LSMS), 1996/97",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2009",,2006,2007,2011,2006,BR,BR,Brazil,Brazil
BRB,Barbados,High income: nonOECD,Latin America & Caribbean,,,Barbados dollar,2010,"Multiple Indicator Cluster Survey (MICS), 2012",,1974,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,,,2011,2005,BB,BB,Barbados,Barbados
BRN,Brunei Darussalam,High income: nonOECD,East Asia & Pacific,,,Brunei dollar,2011,,,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,,,Special trade system,,General Data Dissemination System (GDDS),,Yes,,,2006,1994,BN,BN,Brunei Darussalam,Brunei
BTN,Kingdom of Bhutan,Lower middle income,South Asia,IDA,,Bhutanese ngultrum,2005,"Multiple Indicator Cluster Survey (MICS), 2010",Data were updated recently using the government of Bhutan macroeconomic framework.,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,2009,,2011,2008,BT,BT,Bhutan,Bhutan
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,IBRD,,Botswana pula,2011,"Demographic and Health Survey (DHS), 1988",Base year has changed to 2006. Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: The Central Statistical Office revised national accounts series for 2004 onward.,2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2008",,,2009,2011,2000,BW,BW,Botswana,Botswana
CAF,Central African Republic,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2003,"Multiple Indicator Cluster Survey (MICS), 2010",,2000,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Priority survey (PS), 2008",,,,2011,2005,CF,CF,Central African Republic,Central African Republic
CAN,Canada,High income: OECD,North America,,,Canadian dollar,2011,,Fiscal year end: March 31; reporting period for national accounts data: CY.,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2000",Yes,2011,2008,2011,1986,CA,CA,Canada,Canada
CHE,Switzerland,High income: OECD,Europe & Central Asia,,,Swiss franc,2010,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2000",Yes,2008,2007,2011,2000,CH,CH,Switzerland,Switzerland
CHI,Channel Islands,High income: nonOECD,Europe & Central Asia,,,Pound sterling,"2009/11. Latest population census: Guernsey, 2009; Jersey, 2011.",,,2003,2007,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,,,,,,,,,,,JG,Channel Islands,Channel Islands
CHL,Republic of Chile,High income: OECD,Latin America & Caribbean,IBRD,,Chilean peso,2012,,,2008,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2009",Yes,2007,2008,2011,2007,CL,CL,Chile,Chile
CHN,People's Republic of China,Upper middle income,East Asia & Pacific,IBRD,,Chinese yuan,2010,"National Sample Survey on Population Change (NSS), 2007","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. National accounts historical data for expenditure series in constant prices have been revised based on National Statistics Bureau data not previously available.",2000,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1978–93,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,2007,2007,2011,2005,CN,CN,China,China
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,IDA,HIPC,CFA franc,1998,"Demographic and Health Survey (DHS), 2012",,1996,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,2001,,2011,2005,CI,CI,Côte d'Ivoire,Côte d'Ivoire
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2005,"Demographic and Health Survey (DHS), 2011",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Priority survey (PS), 2007",,1984,2002,2011,2000,CM,CM,Cameroon,Cameroon
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2007,"Demographic and Health Survey (DHS), 2011/12","Based on IMF data, national accounts data have been revised for 1990 onward; the new base year is 1990.",1990,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),1993,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,1985/86,2009,2010,2002,CG,CG,"Congo, Rep.",Congo
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,IBRD,,Colombian peso,2006,"Demographic and Health Survey (DHS), 2010",,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1992–94,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011",,2013,2005,2011,2000,CO,CO,Colombia,Colombia
COM,Union of the Comoros,Low income,Sub-Saharan Africa,IDA,HIPC,Comorian franc,2003,"Demographic and Health Survey (DHS), 2012",,1990,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,,Actual,Special trade system,,,"Integrated household survey (IHS), 2004",,,,2007,1999,KM,KM,Comoros,Comoros
CPV,Republic of Cape Verde,Lower middle income,Sub-Saharan Africa,Blend,,Cape Verde escudo,2010,"Demographic and Health Survey (DHS), 2005",,1980,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2007",Yes,,,2011,2001,CV,CV,Cape Verde,Cape Verde
CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,IBRD,,Costa Rican colon,2011,"Multiple Indicator Cluster Survey (MICS), 2011",,1991,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2011",Yes,1973,2009,2011,1997,CR,CR,Costa Rica,Costa Rica
CSS,Caribbean small states,,,,,,,,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",,,,,,,,,,,,,,,,,,S3,S3,Caribbean small states,Caribbean small states
CUB,Republic of Cuba,Upper middle income,Latin America & Caribbean,,,Cuban peso,2012,"Multiple Indicator Cluster Survey (MICS), 2010/11",,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,Special trade system,,,,Yes,,,2006,2007,CU,CU,Cuba,Cuba
CUW,Curaçao,High income: nonOECD,Latin America & Caribbean,,,Netherlands Antilles guilder,,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,,,,,,,,,,CW,CW,Curaçao,Curaçao
CYM,Cayman Islands,High income: nonOECD,Latin America & Caribbean,,,Cayman Islands dollar,2010,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,General trade system,,,,Yes,,,,,KY,KY,Cayman Islands,Cayman Islands
CYP,Republic of Cyprus,High income: nonOECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,2010,2009,2011,2009,CY,CY,Cyprus,Cyprus
CZE,Czech Republic,High income: OECD,Europe & Central Asia,,,Czech koruna,2011,"Reproductive Health Survey (RHS), 1993",,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 1996",Yes,2010,2007,2011,2007,CZ,CZ,Czech Republic,Czech Republic
DEU,Federal Republic of Germany,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011. Rolling census based on continuous sample survey.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2000",Yes,2010,2009,2011,2007,DE,DE,Germany,Germany
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,IDA,,Djibouti franc,2009,"Multiple Indicator Cluster Survey (MICS), 2006",,1990,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),"Priority survey (PS), 2002",,,,2009,2000,DJ,DJ,Djibouti,Djibouti
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),,Yes,,,2010,2004,DM,DM,Dominica,Dominica
DNK,Kingdom of Denmark,High income: OECD,Europe & Central Asia,,,Danish krone,2011,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income tax register (ITR), 1997",Yes,2010,2008,2011,2009,DK,DK,Denmark,Denmark
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,IBRD,,Dominican peso,2010,"Demographic and Health Survey (DHS), 2007",,1991,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2011",,2012/13,,2011,2005,DO,DO,Dominican Republic,Dominican Republic
DZA,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa,IBRD,,Algerian dinar,2008,"Multiple Indicator Cluster Survey (MICS), 2012",,1980,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 1995",,,,2011,2001,DZ,DZ,Algeria,Algeria
EAP,East Asia & Pacific (developing only),,,,,,,,East Asia and Pacific regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,4E,4E,East Asia & Pacific,East Asia & Pacific (developing only)
EAS,East Asia & Pacific (all income levels),,,,,,,,East Asia and Pacific regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,Z4,Z4,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels)
ECA,Europe & Central Asia (developing only),,,,,,,,Europe and Central Asia regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,7E,7E,Europe & Central Asia,Europe & Central Asia (developing only)
ECS,Europe & Central Asia (all income levels),,,,,,,,Europe and Central Asia regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,Z7,Z7,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels)
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2010,"Reproductive Health Survey (RHS), 2004",SNA data are revised from 1965 to 2012. Base year has changed from 2000 to 2007. The large upward changes are due to the new GDP data released from the government with the new base year (2007) and an improved calculation method for nominal GDP.,2007,,Country uses the 2008 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Labor force survey (LFS), 2011",,2013/15,2008,2011,2005,EC,EC,Ecuador,Ecuador
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa,IBRD,,Egyptian pound,2006,"Demographic and Health Survey (DHS), 2008",Fiscal year end: June 30; reporting period for national accounts data: FY.,1991/92,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,2006,2011,2000,EG,EG,"Egypt, Arab Rep.",Egypt
EMU,Euro area,,,,,,,,Euro area aggregate.,,,,,,,,,,,,,,,,,,XC,XC,Euro area,Euro area
